Orcaflex Simulation of 15 MW floating offshore wind turbine;;;;;;
;;;;;;
Time;Wind speed;Sea surface;Mooring force;Tilt;Nac. acc.;Tower mom.
(s);(m/s);(m);(kN);(deg.);(m/s2);(kNm)
0;32.98;0.47;7436.27;-5.56;-1.25;-806154.06
0.1;33.24;0.29;7457.32;-5.55;-1.25;-806570.1
0.2;33.66;0.11;7475.07;-5.53;-1.24;-806385.89
0.3;34.23;-0.06;7489.5;-5.51;-1.23;-805549.79
0.4;34.95;-0.22;7500.62;-5.49;-1.21;-804060.69
0.5;35.82;-0.36;7508.53;-5.47;-1.19;-801954.85
0.6;36.81;-0.49;7513.3;-5.45;-1.17;-799307.89
0.7;37.93;-0.61;7515.09;-5.43;-1.14;-796029.03
0.8;39.15;-0.71;7513.82;-5.41;-1.1;-791280.59
0.9;40.45;-0.8;7509.51;-5.39;-1.06;-784919.1
1;41.82;-0.87;7502.11;-5.37;-1.01;-776855.31
1.1;43.22;-0.93;7491.63;-5.34;-0.95;-767027.51
1.2;44.63;-0.99;7478.09;-5.32;-0.88;-755432.49
1.3;46.01;-1.03;7461.61;-5.29;-0.81;-741920.03
1.4;47.33;-1.08;7442.38;-5.27;-0.73;-726235.34
1.5;48.56;-1.12;7420.65;-5.25;-0.64;-708311.94
1.6;49.66;-1.16;7396.7;-5.22;-0.56;-688709
1.7;50.6;-1.21;7370.76;-5.2;-0.47;-668623.69
1.8;51.36;-1.25;7342.98;-5.17;-0.38;-648682.15
1.9;51.9;-1.3;7313.4;-5.15;-0.31;-629871.48
2;52.22;-1.35;7282.06;-5.13;-0.23;-610329.69
2.1;52.29;-1.41;7249.11;-5.11;-0.16;-590341.41
2.2;52.12;-1.47;7214.7;-5.08;-0.1;-569962.26
2.3;51.7;-1.54;7178.96;-5.06;-0.04;-550217.26
2.4;51.05;-1.6;7141.94;-5.04;0.01;-531749.68
2.5;50.19;-1.67;7103.84;-5.02;0.06;-512038.7
2.6;49.14;-1.74;7064.96;-5;0.11;-492624.46
2.7;47.95;-1.81;7025.54;-4.99;0.15;-474155.57
2.8;46.64;-1.88;6985.77;-4.97;0.18;-456881.03
2.9;45.27;-1.95;6945.72;-4.95;0.21;-440939.17
3;43.89;-2.03;6905.38;-4.94;0.23;-426688.18
3.1;42.53;-2.1;6864.7;-4.92;0.25;-415235.45
3.2;41.26;-2.18;6823.6;-4.91;0.24;-409344.79
3.3;40.11;-2.25;6782.09;-4.9;0.24;-404085.46
3.4;39.13;-2.33;6740.27;-4.89;0.24;-400171.92
3.5;38.34;-2.4;6698.11;-4.88;0.23;-398623.87
3.6;37.77;-2.48;6655.58;-4.87;0.21;-399062.08
3.7;37.44;-2.56;6612.72;-4.86;0.2;-400772.32
3.8;37.35;-2.63;6569.66;-4.85;0.19;-402154.8
3.9;37.5;-2.71;6526.57;-4.85;0.19;-402560.75
4;37.88;-2.79;6483.54;-4.84;0.2;-401475.83
4.1;38.48;-2.87;6440.55;-4.84;0.22;-398676.96
4.2;39.25;-2.94;6397.56;-4.84;0.24;-394562.71
4.3;40.17;-3.02;6354.54;-4.84;0.26;-390459.01
4.4;41.2;-3.09;6311.6;-4.84;0.3;-383374.85
4.5;42.31;-3.16;6268.82;-4.84;0.34;-376083.24
4.6;43.45;-3.23;6226.26;-4.84;0.39;-368412.93
4.7;44.58;-3.28;6183.93;-4.85;0.43;-360145.66
4.8;45.67;-3.33;6141.86;-4.85;0.48;-351206.48
4.9;46.69;-3.36;6100.15;-4.86;0.53;-341720.05
5;47.62;-3.38;6058.93;-4.86;0.58;-332066.92
5.1;48.44;-3.38;6018.37;-4.87;0.63;-322493.72
5.2;49.14;-3.37;5978.59;-4.88;0.68;-313543.69
5.3;49.73;-3.33;5939.72;-4.89;0.72;-304711.88
5.4;50.2;-3.27;5901.99;-4.9;0.76;-295999.87
5.5;50.57;-3.19;5865.53;-4.91;0.78;-291941.16
5.6;50.86;-3.09;5830.31;-4.93;0.78;-293388.54
5.7;51.09;-2.97;5796.25;-4.94;0.77;-298679.76
5.8;51.28;-2.82;5763.27;-4.96;0.75;-306582.12
5.9;51.46;-2.67;5731.31;-4.98;0.72;-316999.05
6;51.65;-2.49;5700.37;-4.99;0.69;-329649.99
6.1;51.86;-2.31;5670.5;-5.01;0.65;-343713.19
6.2;52.11;-2.12;5641.83;-5.03;0.61;-358714.18
6.3;52.42;-1.92;5614.49;-5.05;0.56;-374488.08
6.4;52.79;-1.73;5588.61;-5.08;0.52;-391043.36
6.5;53.21;-1.53;5564.26;-5.1;0.47;-408167.14
6.6;53.67;-1.34;5541.43;-5.12;0.43;-425338.25
6.7;54.17;-1.16;5519.97;-5.15;0.38;-443813.44
6.8;54.68;-0.97;5499.57;-5.17;0.33;-463364.67
6.9;55.18;-0.79;5480.02;-5.2;0.28;-482546.79
7;55.64;-0.62;5461.24;-5.22;0.23;-500353.96
7.1;56.04;-0.44;5443.26;-5.25;0.19;-517208.95
7.2;56.35;-0.27;5426.12;-5.27;0.15;-531529.31
7.3;56.54;-0.1;5409.94;-5.3;0.12;-541971.18
7.4;56.6;0.07;5394.84;-5.32;0.1;-550014.09
7.5;56.51;0.25;5380.83;-5.35;0.08;-555556.13
7.6;56.26;0.42;5367.87;-5.37;0.06;-558262
7.7;55.85;0.59;5355.84;-5.4;0.05;-558392.49
7.8;55.28;0.77;5344.55;-5.43;0.05;-556758
7.9;54.55;0.94;5333.78;-5.45;0.04;-554201.88
8;53.69;1.1;5323.45;-5.48;0.03;-550788.17
8.1;52.72;1.25;5313.72;-5.5;0.03;-544267.92
8.2;51.66;1.4;5304.95;-5.53;0.03;-535872.04
8.3;50.54;1.53;5297.42;-5.55;0.01;-530483.56
8.4;49.4;1.64;5291.19;-5.58;-0.01;-528154.14
8.5;48.25;1.74;5286.22;-5.6;-0.03;-527586.68
8.6;47.13;1.81;5282.41;-5.62;-0.05;-527384.35
8.7;46.06;1.87;5279.65;-5.65;-0.08;-528224.02
8.8;45.07;1.9;5277.82;-5.67;-0.1;-527258.68
8.9;44.18;1.91;5276.79;-5.69;-0.11;-524035.57
9;43.38;1.9;5276.55;-5.71;-0.11;-518994.92
9.1;42.69;1.87;5277.28;-5.72;-0.1;-513191.15
9.2;42.11;1.82;5279.3;-5.74;-0.09;-507166.32
9.3;41.62;1.76;5282.95;-5.76;-0.08;-501309.28
9.4;41.23;1.69;5288.43;-5.77;-0.06;-495888.14
9.5;40.92;1.6;5295.67;-5.79;-0.05;-491273.64
9.6;40.67;1.51;5304.4;-5.8;-0.05;-489601.04
9.7;40.46;1.41;5314.27;-5.81;-0.06;-490513.23
9.8;40.28;1.32;5325.01;-5.82;-0.06;-490648.15
9.9;40.12;1.21;5336.51;-5.83;-0.07;-492857.97
