# B-band magnitudes (data)
# R-band magnitudes (data)
# I-band magnitudes (data)
16.5361 15.8825 15.3843
16.6523 15.9340 15.4290
16.7060 15.9525 15.4177
16.7087 16.0713 15.5991
16.8459 16.1310 15.6628
16.9778 16.1302 15.5901
17.0363 15.6934 14.9883
17.0995 16.3177 15.7680
17.1541 16.1445 15.5140
17.2220 16.3594 15.7632
17.2368 16.3977 15.8461
17.3276 16.3943 15.8143
17.3361 17.2063 16.9969
17.4135 15.9536 15.2216
17.4148 16.4182 15.8272
17.4311 16.6705 16.2176
17.4772 16.2851 15.5730
17.4795 16.2700 15.5493
17.5747 16.0367 15.2908
17.5750 16.9016 16.3878
17.6100 16.8174 16.3376
17.6671 16.5585 15.8822
17.7086 16.7577 16.2260
17.7253 16.5304 15.8393
17.7275 16.7240 16.1705
17.7913 17.0118 16.5721
17.8134 16.8885 16.3301
17.8155 16.6398 15.9707
17.8247 17.0309 16.5546
17.8371 16.8411 16.1229
17.8473 16.6398 15.9720
17.8531 16.7116 16.0965
17.8541 17.5826 17.3713
17.8545 17.1723 16.6828
17.8694 16.7533 16.1075
17.9091 16.4780 15.7347
17.9148 17.0959 16.6447
17.9281 16.5712 15.8802
17.9479 16.9561 16.3953
17.9587 16.2798 15.3411
17.9642 16.5533 15.7288
17.9847 16.8801 16.2776
17.9920 17.1130 16.5801
18.0131 17.0816 16.4955
18.0398 16.9295 16.3089
18.0407 16.6813 15.9676
18.0553 16.7345 16.0015
18.0772 17.2599 16.7505
18.1002 16.8580 16.1743
18.1218 17.1835 16.6095
18.1563 16.8910 16.1588
18.1827 17.5290 17.1002
18.1879 16.9058 16.1616
18.2543 16.4336 15.4497
18.2610 17.5181 17.0125
18.2614 16.5144 15.5392
18.2876 17.1664 16.5072
18.3051 17.5079 16.9759
18.3539 16.6634 15.7879
18.3551 17.5340 16.9891
18.3607 17.2631 16.6562
18.3666 17.4940 17.0029
18.4035 16.3468 15.1004
18.4106 17.4915 16.9862
18.4349 17.4347 16.8353
18.4551 17.1916 16.4530
18.4703 17.5643 16.9758
18.4749 17.2342 16.5282
18.4752 16.8385 15.9505
18.4959 16.8982 16.0526
18.5075 16.5557 15.4455
18.5272 16.6121 15.5616
18.5379 17.4126 16.7702
18.5587 16.6380 15.6011
18.5777 17.2032 16.4977
18.5836 17.0323 16.0067
18.5840 17.2301 16.3975
18.6069 17.5896 16.9577
18.7080 17.0996 16.2651
18.7137 17.8307 17.2418
18.7267 17.9245 17.4276
18.7328 16.6498 15.3207
18.7409 17.4865 16.8086
18.7424 16.9502 15.9332
18.7673 18.1365 17.7491
18.7854 17.1537 16.3167
18.7889 17.0640 16.1242
18.8369 16.7291 15.3277
18.8439 16.6356 14.7812
18.8440 16.7424 15.1266
18.8505 17.7237 17.0586
18.8547 17.8719 17.3124
18.8703 16.7336 15.1754
18.8735 17.6216 16.9473
18.8757 16.8898 15.7753
18.8972 18.2432 17.7858
18.8997 17.8247 17.2138
18.9006 17.9930 17.4288
18.9115 17.9439 17.4023
18.9162 18.3156 17.8365
18.9272 17.9061 17.2884
18.9573 16.8527 15.2739
18.9594 17.1011 16.0772
18.9792 18.1183 17.5777
18.9887 16.9500 15.7605
18.9908 17.1855 16.1486
19.0014 18.5010 18.0998
19.0396 16.9273 15.5825
19.0648 18.4204 18.0254
19.0661 18.4576 18.0726
19.0767 17.4701 16.4760
19.0842 17.0205 15.7790
19.0934 17.1649 16.1425
19.0956 17.1467 16.0052
19.1431 18.0102 17.4093
19.1691 18.1767 17.6404
19.1872 16.9925 15.7005
19.1883 18.2631 17.7263
19.1960 17.2486 16.1405
19.2225 18.2315 17.6642
19.2480 17.1229 15.2849
19.2524 18.5815 18.1474
19.2533 17.8301 16.9966
19.2550 18.5513 18.1436
19.2718 18.2714 17.6913
19.3142 17.9175 17.1721
19.3395 17.3628 16.1176
19.3573 17.5935 16.6422
19.3576 18.1558 17.4299
19.3684 17.2369 15.7210
19.3773 18.4311 17.9202
19.4008 19.1422 18.4508
19.4114 18.7142 18.3126
19.4144 18.3988 17.8191
19.4156 17.6366 16.6597
19.4471 18.8394 18.3911
19.4966 17.4759 16.1533
19.5024 17.9022 16.9970
19.5063 17.5097 16.3470
19.5231 17.3114 15.5026
19.5245 17.5478 16.2218
19.5412 18.7626 18.2493
19.5477 17.4449 16.1575
19.5533 18.3067 17.6094
19.5577 17.3449 15.7165
19.5672 17.5822 16.4144
19.5684 19.0278 18.4164
19.5704 18.9344 18.4938
19.5709 18.8460 18.3924
19.5728 18.8500 18.3207
19.5900 17.6040 16.3456
19.5967 18.7587 18.2759
19.5999 18.5320 17.8602
19.6069 17.9578 17.0655
19.6197 18.0522 17.1817
19.6585 18.1559 17.3537
19.6608 18.5458 17.7688
19.6608 18.8419 18.2110
19.6625 17.6645 16.5223
19.6777 17.6092 16.1070
19.6784 19.0562 18.5949
19.7130 17.4056 15.5440
19.7166 17.6315 16.3161
19.7327 18.0834 17.2331
19.7470 18.6516 17.9613
19.7495 17.5525 16.1224
19.7527 17.6701 16.3360
19.7595 18.2910 17.4813
19.7622 18.7267 18.1070
19.7654 17.4531 15.5296
19.7681 17.6593 16.3548
19.7728 19.1633 18.5761
19.8548 17.9271 16.8457
19.8705 17.6665 15.9509
19.8825 18.2334 17.3520
19.8989 19.2156 18.8009
19.9422 18.1978 17.2353
19.9464 17.7663 16.0527
19.9763 17.7990 15.9722
19.9987 17.7604 15.7609
20.0148 18.1421 17.0340
20.0167 18.0164 16.7204
20.0186 18.3415 17.4613
20.0565 18.2267 17.1693
20.0639 19.2241 18.5841
20.0653 18.0700 16.9163
20.0692 17.8743 16.3431
20.0968 19.1628 18.6109
20.1115 17.7961 15.7044
20.1177 17.8475 15.9196
20.1368 18.0899 16.7454
20.1476 18.0833 16.7363
20.1705 18.4098 17.4612
20.1988 19.2120 18.6110
20.2096 18.2882 17.1905
20.2224 18.3604 17.3095
20.2225 18.5636 17.6612
20.2524 18.5023 17.5074
20.2636 18.1651 16.3910
20.2672 18.0526 16.3573
20.2726 18.0620 16.2561
20.2891 18.3029 17.1577
20.2955 18.1827 16.5038
20.2982 18.2854 17.1202
20.3040 18.7141 17.8538
20.3213 18.3121 17.0793
20.3231 19.0007 18.2495
20.3574 18.0710 16.1307
20.3629 18.9621 18.1760
20.3817 18.0606 15.9940
20.3817 18.3391 16.8848
20.3974 18.9230 18.1305
20.4067 18.4483 17.3382
20.4129 18.4136 17.1961
20.4158 18.1493 16.3752
20.4191 17.9956 15.7632
20.4603 18.4083 17.2711
20.4653 18.4419 17.0152
20.4784 18.4732 17.1263
20.5138 18.2489 16.3404
20.5442 18.2188 16.3144
20.5490 18.2471 16.2501
20.5502 18.2472 16.2989
20.5595 18.2483 16.2802
20.5596 18.8685 17.9855
20.5729 18.3231 16.5948
20.5881 18.7791 17.7798
20.6041 18.3694 16.6289
20.6113 18.5906 17.1253
20.6130 18.6811 17.5006
20.6153 18.4988 16.9058
20.6576 18.3099 15.9630
20.6594 19.0077 18.1042
20.6617 18.5882 17.2706
20.6806 18.7080 17.0286
20.6824 18.9836 18.0503
20.6963 18.3211 16.2240
20.7115 18.4589 16.7170
20.7468 18.8336 17.7118
20.7691 18.6414 16.8936
20.7877 18.5885 16.8251
20.7885 18.9537 17.8701
20.7929 18.9724 17.9004
20.8068 18.6688 17.0216
20.8275 18.8502 17.4866
20.8365 18.4412 16.1458
20.8489 19.1068 18.1464
20.8538 18.7249 17.0196
20.8778 18.7304 17.1889
20.8845 19.0389 17.5774
20.8985 18.8060 17.5141
20.9037 18.4585 16.1618
20.9318 18.7807 16.9400
20.9328 19.0231 17.9253
20.9400 18.6798 17.0295
20.9838 18.8341 17.1749
21.0129 19.1049 17.8782
21.0399 19.0889 17.8814
21.0400 18.8656 17.2233
21.0602 18.8106 17.3452
21.0836 18.8214 17.0847
21.0902 18.6340 16.7027
21.1060 18.6773 16.4542
21.1182 18.7489 16.5940
21.1437 18.8804 16.9394
21.1584 19.0705 17.4378
21.1659 18.9256 17.1885
21.1692 18.8345 17.0203
21.1731 18.9641 17.2633
21.1881 19.0939 17.6924
21.1909 18.9495 17.1255
21.1963 18.6700 16.1784
21.2386 19.0584 17.1505
21.2597 19.2113 17.7720
21.2853 19.0827 17.3431
21.2902 19.1966 17.9545
21.2912 19.0942 17.5893
21.2933 18.9535 16.8854
21.3183 18.7454 16.5432
21.3389 18.9933 16.9813
21.3433 19.1401 17.5096
21.3793 19.1819 17.4630
21.4167 19.0720 16.8121
21.4318 19.1767 17.1322
21.4904 18.9557 16.5783
21.5459 19.1815 17.1561
21.5781 19.1954 17.0676
