# B-band magnitudes (model)
# R-band magnitudes (model)
# I-band magnitudes (model)
15.43300000 14.99800000 14.79200000
15.54100000 14.99800000 14.71700000
15.62100000 14.99800000 14.70800000
15.65600000 14.99800000 14.66900000
15.74200000 14.99800000 14.63300000
15.76800000 14.99800000 14.60100000
15.85200000 14.99800000 14.57200000
15.90000000 14.99800000 14.55700000
15.98800000 14.99800000 14.53900000
16.04700000 14.99800000 14.51200000
16.21800000 14.99800000 14.46700000
16.28800000 14.99800000 14.38800000
16.47800000 14.99800000 14.31900000
16.67000000 14.99800000 14.26400000
16.88500000 14.99800000 14.07100000
16.86700000 14.99800000 13.93300000
16.93500000 14.99800000 13.74300000
17.16600000 14.99800000 13.41300000
17.08000000 14.99800000 13.64200000
17.23000000 14.99800000 13.24900000
17.37500000 14.99800000 12.97400000
15.71200000 14.99800000 14.65000000
15.78900000 14.99800000 14.61100000
15.81000000 14.99800000 14.57500000
15.92200000 14.99800000 14.58500000
16.08600000 14.99800000 14.51900000
15.62600000 14.99800000 14.72200000
15.70800000 14.99800000 14.67700000
15.77100000 14.99800000 14.60800000
15.87400000 14.99800000 14.60800000
