"Time (ms)";"Recording (a.u.)"
0.000000000E0;1.129184851E-3
2.083412250E-2;4.211554308E-3
4.166824501E-2;7.110812708E-3
6.250236751E-2;8.911404767E-3
8.333649002E-2;1.022370067E-2
1.041706125E-1;1.235999634E-2
1.250047350E-1;1.559495834E-2
1.458388575E-1;1.977599414E-2
1.666729800E-1;2.346873379E-2
1.875071025E-1;2.612384411E-2
2.083412250E-1;2.777184362E-2
2.291753476E-1;2.887050996E-2
2.500094701E-1;3.033539842E-2
2.708435926E-1;3.241065706E-2
2.916777151E-1;3.543198950E-2
3.125118376E-1;3.811761834E-2
3.333459601E-1;3.988769189E-2
3.541800826E-1;4.107791375E-2
3.750142051E-1;4.217658010E-2
3.958483276E-1;4.373302408E-2
4.166824501E-1;4.492324595E-2
4.375165726E-1;4.632709738E-2
4.583506951E-1;4.821924497E-2
4.791848176E-1;5.059968871E-2
5.000189401E-1;5.215613269E-2
5.208530626E-1;5.243079928E-2
5.416871851E-1;5.264442885E-2
5.625213076E-1;5.362102115E-2
5.833554301E-1;5.478072451E-2
6.041895526E-1;5.493331706E-2
6.250236751E-1;5.517746513E-2
6.458577976E-1;5.648976104E-2
6.666919201E-1;5.755790887E-2
6.875260427E-1;5.719168676E-2
7.083601652E-1;5.493331706E-2
7.291942877E-1;5.340739158E-2
7.500284102E-1;5.328531755E-2
7.708625327E-1;5.313272500E-2
7.916966552E-1;5.236976226E-2
8.125307777E-1;5.102694784E-2
8.333649002E-1;5.008087405E-2
8.541990227E-1;4.901272622E-2
8.750331452E-1;4.705954161E-2
8.958672677E-1;4.492324595E-2
9.167013902E-1;4.275643178E-2
9.375355127E-1;4.065065462E-2
9.583696352E-1;3.869747002E-2
9.792037577E-1;3.707998901E-2
1.000037880E0;3.598132267E-2
1.020872003E0;3.393658254E-2
1.041706125E0;3.057954649E-2
1.062540248E0;2.716147343E-2
1.083374370E0;2.502517777E-2
1.104208493E0;2.349925230E-2
1.125042615E0;2.163762322E-2
1.145876738E0;1.904354991E-2
1.166710860E0;1.626636555E-2
1.187544983E0;1.403851436E-2
1.208379105E0;1.074251534E-2
1.229213228E0;7.354960784E-3
1.250047350E0;4.760887478E-3
1.270881473E0;2.258369701E-3
1.291715595E0;-5.188146611E-4
1.312549718E0;-3.662221137E-3
1.333383840E0;-6.591998047E-3
1.354217963E0;-9.491256447E-3
1.375052085E0;-1.315347758E-2
1.395886208E0;-1.693777276E-2
1.416720330E0;-1.974547563E-2
1.437554453E0;-2.157658620E-2
1.458388575E0;-2.346873379E-2
1.479222698E0;-2.591021455E-2
1.500056820E0;-2.862636189E-2
1.520890943E0;-3.085421308E-2
1.541725065E0;-3.338724937E-2
1.562559188E0;-3.659169286E-2
1.583393310E0;-3.946043275E-2
1.604227433E0;-4.144413587E-2
1.625061555E0;-4.220709861E-2
1.645895678E0;-4.287850581E-2
1.666729800E0;-4.409924619E-2
1.687563923E0;-4.553361614E-2
1.708398045E0;-4.754783776E-2
